Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Anara,https://anara.com,Summer 2024,AI,5,yes,AI for researchers
Drillbit,https://www.drillbit.com,Summer 2024,AI,10,yes,Automating Office Work for Residential Contractors.
Conductor Quantum,https://www.conductorquantum.com,Summer 2024,AI/ML,4,yes,AI that operates quantum computers for scientific discovery
Mage Legal,https://magelegal.com,Summer 2024,AI,2,yes,Automatic AI Legal Diligence
Zeit AI,https://zeit-ai.com/,Summer 2024,AI,12,yes,The autonomous data engineer for the mid-market
Soff,https://soff.ai,Summer 2024,AI,6,yes,AI Agents for Distributors
Brighterway,https://www.brighterway.ai/,Summer 2024,AI,14,yes,Streamlining the medical record review process in workers comp
The Forecasting Company,https://www.theforecastingcompany.com,Summer 2024,AI,7,yes,Foundation models for time series
Presti AI,https://www.presti.ai/,Summer 2024,AI,16,yes,Helping furniture companies create product visuals with AI
Simple AI,https://www.usesimple.ai,Summer 2024,AI,11,yes,AI voice that sells
Assembly HOA,https://assemblyhoa.com,Summer 2024,AI,12,yes,AI-native HOA Management Company
Draft The Record,https://www.drafttherecord.com/,Summer 2024,AI,5,yes,AI For Litigation
Elayne,https://www.elayne.com/,Summer 2024,AI,8,yes,"Estate settlement, from verified discovery to distribution"
Usul,https://www.usul.com,Summer 2024,AI,15,yes,AI Platform for Winning Defense & Government Contracts
Anglera,https://www.anglera.com/,Summer 2024,AI/ML,6,yes,AI-Powered Product Data Enrichment
Overlap,https://www.overlap.ai,Summer 2024,AI,6,yes,Multimodal AI agents for video
Arva AI,https://www.arva.ai,Summer 2024,AI,20,yes,"AI Agents to scale AML, KYB and KYC operations"
Syntra,https://www.syntra.com,Summer 2024,AI,10,yes,Faster healthcare payments 
Conductor,https://conductor.build,Summer 2024,AI/DevTools,8,yes,Run a team of coding agents on your Mac
Candle,https://www.trycandle.app/,Fall 2024,AI,2,yes,Candle helps friends and couples grow closer daily in just 5 minutes.
Openbenchmarks,https://openbenchmarks.com,Fall 2024,AI,4,yes,We help humans & agents pick tools via Independent Benchmarks
Raycaster,https://raycaster.ai,Fall 2024,AI,3,yes,AI for life sciences documents
Revyl,https://www.revyl.com,Fall 2024,AI/DevTools,16,yes,The Mobile Development Platform
attimet,https://attimet.com/,Fall 2024,AI,3,yes,Building the Prime Radiant
Keye,https://www.keye.co,Fall 2024,AI,3,yes,The Smartest Private Equity Investor
Abundant,https://www.abundant.ai/,Fall 2024,AI,7,yes,Agent simulation and RL for researchers
Consus,https://www.consus.io,Fall 2024,AI/DevTools,1,yes,The fastest and cheapest way to use AI with ITAR or CUI data. 
Innate,https://innate.bot,Fall 2024,AI/DevTools,7,yes,Personal AI Robots
HumanLayer,https://humanlayer.com,Fall 2024,AI/DevTools,2,yes,The multiplayer control plane for your software factory
Ocular AI,https://useocular.com,Winter 2024,ML,8,yes,Applied AI Data Research Lab Encoding Human Expertise into Machines…
Cloudglue,https://cloudglue.dev,Summer 2024,ML/DevTools,4,yes,The video context layer for AI.
FINNY AI,https://www.finny.com/,Summer 2024,ML,35,yes,The organic growth engine for financial advisors 
Cartage,https://cartage.ai,Summer 2024,ML,12,yes,Autonomous freight coordination
Upsolve AI,https://upsolve.ai/,Winter 2024,DevTools,5,yes,Deploy trustworthy data agent that know your business
Respan,https://respan.ai,Winter 2024,DevTools,23,yes,"Self-driving observability, evals, and gateway for AI agents"
Zep AI,https://www.getzep.com/,Winter 2024,DevTools,10,yes,Agent Context Is Hard. We Fixed It.
Spur,https://www.spurtest.com/,Summer 2024,DevTools,8,yes,Spur is your AI QA Engineer. Test your websites with natural language.
